slug,title,category,inbound_before,inbound_after,orphan_before,orphan_after,has_affiliate_cta,used_fallback,popular_articles_candidates
amazon-tsuhan-toha,Amazonとは?特徴とポイントの貯め方をわかりやすく解説,shopping,173,173,FALSE,FALSE,TRUE,FALSE,net-shopping-point-kiso;aupay-market-toha;biccamera-toha;charge-route-point;daimaru-matsuzakaya-toha;docomo-select-toha;dpoint-tsukaimichi;dshopping-toha;ec-current-poikatsu;hikkoshi-poikatsu
ame-heijitsu-campaign-poikatsu,雨の日・平日限定キャンペーンのポイ活術!条件を見落とさないコツ,campaign,0,4,TRUE,FALSE,FALSE,FALSE,airtrip-tsukaikata;black-friday-poikatsu;poikatsu-campaign-shippai-boushi;rakuten-travel-supersale-poikatsu;yahoo-travel-tsukaikata;jalan-net-poikatsu;yahoo-travel-poikatsu;paypay-campaign-katsuyo;airtrip-poikatsu;jalan-tsukaikata
amefri-poikatsu,アメフリとは?すきま時間で貯まるポイントサイトの特徴を解説,pointsite,72,72,FALSE,FALSE,TRUE,FALSE,chobirich-poikatsu;chobirich-tsukaikata;ecnavi-poikatsu;ecnavi-tsukaikata;hapitas-poikatsu;moppy-hajimekata;muryou-kaiin-touroku-poikatsu;nifty-point-club-poikatsu;point-museum-poikatsu;pointincome-poikatsu
ana-amex-campaign-2026,"【期間限定】ANAアメックス新規入会キャンペーン特集|最大242,000マイル",creditcard,1,2,FALSE,FALSE,FALSE,FALSE,ana-amex-poikatsu;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint;credit-card-mile-hikaku;credit-card-common-point-hikaku;credit-card-point-hikaku;creditcard-tsukurisugi-chuui;kuukou-lounge-poikatsu;creditcard-erabikata
ana-amex-poikatsu,ANAアメックスが大幅刷新!ゴールド・プレミアムの新特典とマイル還元まとめ,creditcard,2,23,FALSE,FALSE,FALSE,FALSE,ana-amex-campaign-2026;kuukou-lounge-poikatsu;apple-pay-poikatsu;dcard-poikatsu;gasoline-point-tameru;hokenryo-point-tameru;jcb-jpoint-poikatsu;mitsui-sumitomo-card-vpoint;rakuten-card-poikatsu;credit-card-mile-hikaku
ana-furusato-mile,ANAのふるさと納税でマイルを貯める方法!旅行好き向けの基本,shopping,1,7,FALSE,FALSE,FALSE,FALSE,furusato-nozei-poikatsu;ana-mileage-mall-poikatsu;etc-mileage-toha;jal-mileage-mall-poikatsu;jre-point-kiso;mile-koukan-merit;point-koukan-toha;ponta-mile-koukan;rakuten-ana-mile-koukan;recruit-ponta
ana-hikari-poikatsu,ANAマイルが貯まる光回線が登場!「ANA光 powered by SoftBank」を徹底解説,seikatsu,0,6,TRUE,FALSE,FALSE,FALSE,ahamo-hikari-poikatsu;auhikari-poikatsu;biglobe-hikari-poikatsu;docomo-denki-poikatsu;nifty-docomo-hikari-poikatsu;rakuten-hikari-poikatsu;rakuten-mobile-poikatsu;softbank-hikari-poikatsu;aupay-furusato-poikatsu;d-value-pass-poikatsu
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,3,35,FALSE,FALSE,FALSE,FALSE,point-yuukoukigen-kanri;rakuten-ana-mile-koukan;ponta-mile-koukan;vpoint-tasha-koukan;ana-mile-tameru-kachi;ana-mileage-mall-poikatsu;jal-mile-tameru-kachi;mile-koukan-merit;ana-mileageplus-hikaku;au-uq-ponta
ana-mile-tameru-kachi,ANAマイルを貯めるべき人・貯めない方がいい人を解説,shopping,1,21,FALSE,FALSE,FALSE,FALSE,ana-mileage-mall-poikatsu;rakuten-ana-mile-koukan;ana-jal-mile-hikaku;ana-mileageplus-hikaku;jal-mile-tameru-kachi;mileageplus-nihon-zaijuu;au-uq-ponta;carshare-point-katsuyou;cleaning-poikatsu;code-kessai-4sha-hikaku
ana-mileage-mall-poikatsu,ANAマイレージモールの使い方!通販前にマイルを貯める経由術,shopping,3,9,FALSE,FALSE,FALSE,FALSE,mile-koukan-merit;ana-jal-mile-hikaku;ana-mile-tameru-kachi;rakuten-travel-supersale-entry-coupon;ana-furusato-mile;etc-mileage-toha;jal-mileage-mall-poikatsu;jre-point-kiso;point-koukan-toha;ponta-mile-koukan
ana-mileageplus-hikaku,ANAマイルとMileagePlusはどっち?同じスターアライアンスで何が違う?,shopping,2,28,FALSE,FALSE,FALSE,FALSE,ana-jal-mile-hikaku;mileageplus-nihon-zaijuu;ana-mile-tameru-kachi;au-uq-ponta;cleaning-poikatsu;code-kessai-4sha-hikaku;docomo-ahamo-dpoint;dpoint-ponta-hikaku;jal-mile-tameru-kachi;net-super-poikatsu
anshin-security-toha,あんしんセキュリティとは?月額料金と機能をわかりやすく解説,seikatsu,0,12,TRUE,FALSE,TRUE,FALSE,ahamo-toha;busnoru-poikatsu;dcarshare-toha;dhealthcare-toha;dhits-toha;dmagazine-toha;dmmbooks-toha;dphoto-toha;hikaritv-toha;jalan-golf-toha
app-hitsuyou,ポイ活アプリは必要?初心者におすすめの使い分けと管理方法,app,0,11,TRUE,FALSE,FALSE,FALSE,code-receipt-poikatsu;reshichare-poikatsu;one-receipt-poikatsu;torima-idou-poikatsu;app-install-anken-poikatsu;hashport-wallet-poikatsu;hosuu-app-poikatsu;idou-app-erabikata;receipt-app-poikatsu;taxi-app-poikatsu
app-install-anken-poikatsu,アプリインストール案件のポイ活とは?条件達成・アンインストールの注意点を解説,app,0,11,TRUE,FALSE,FALSE,FALSE,hashport-wallet-poikatsu;receipt-app-poikatsu;code-receipt-poikatsu;reshichare-poikatsu;one-receipt-poikatsu;torima-idou-poikatsu;app-hitsuyou;hosuu-app-poikatsu;idou-app-erabikata;taxi-app-poikatsu
apple-pay-poikatsu,Apple Payでポイ活する方法!ポイント還元とiD・QUICPay・タッチ決済の違い,creditcard,0,13,TRUE,FALSE,FALSE,FALSE,creditcard-kangenritsu;suica-point-tameru;point-niju-sanjudori-kumiawase;visa-touch-poikatsu;sumaho-kessai-poikatsu;cashless-setsuyaku;ana-amex-poikatsu;dcard-poikatsu;gasoline-point-tameru;hokenryo-point-tameru
au-uq-ponta,au・UQユーザーはPontaポイントにまとめるべき?相性の良いサービスを解説,shopping,4,48,FALSE,FALSE,FALSE,FALSE,aupay-ponta;lawson-ponta;aupay-furusato-poikatsu;docomo-ahamo-dpoint;dpoint-ponta-hikaku;yosekatsu;ponta-kiso;ponta-supermarket;ana-jal-mile-hikaku;ana-mileageplus-hikaku
auhikari-poikatsu,auひかりとは?NEXT経由の申込みでキャッシュバックが早いって本当?,seikatsu,0,6,TRUE,FALSE,TRUE,FALSE,ahamo-hikari-poikatsu;ana-hikari-poikatsu;biglobe-hikari-poikatsu;docomo-denki-poikatsu;nifty-docomo-hikari-poikatsu;rakuten-hikari-poikatsu;rakuten-mobile-poikatsu;softbank-hikari-poikatsu;aupay-furusato-poikatsu;d-value-pass-poikatsu
aupay-furusato-poikatsu,au PAYふるさと納税のPontaポイントは貯まる?2025年10月の変更を解説,seikatsu,16,14,FALSE,FALSE,TRUE,FALSE,ponta-tsukaikata;au-uq-ponta;furusato-nozei-poikatsu;furusato-portal-erabikata;ponta-tamekata;jalan-golf-toha;docomo-denki-poikatsu;rakuten-mobile-poikatsu;ahamo-hikari-poikatsu;d-value-pass-poikatsu
aupay-market-poikatsu,au PAYマーケットでポイントを活用する方法!買い物前の確認ポイント,shopping,0,32,TRUE,FALSE,FALSE,FALSE,au-uq-ponta;aupay-market-toha;aupay-ponta;code-kessai-4sha-hikaku;dpoint-ponta-hikaku;drugstore-point-hikaku;kadenryohanten-point-hikaku;kikangentei-point-5shu-hikaku;kikangentei-point-tsukaimichi;lawson-ponta
aupay-market-toha,au PAY マーケットとは?特徴とポイントの貯め方をわかりやすく解説,shopping,184,184,FALSE,FALSE,TRUE,FALSE,net-shopping-point-kiso;ponta-tamekata;ponta-tsukaikata;au-uq-ponta;aupay-market-poikatsu;aupay-ponta;code-kessai-4sha-hikaku;dpoint-ponta-hikaku;drugstore-point-hikaku;kadenryohanten-point-hikaku
aupay-ponta,au PAYでPontaポイントを貯める方法!スマホ決済との組み合わせを解説,shopping,3,30,FALSE,FALSE,FALSE,FALSE,au-uq-ponta;ponta-tamekata;ponta-tsukaikata;aupay-market-poikatsu;aupay-market-toha;code-kessai-4sha-hikaku;dpoint-ponta-hikaku;drugstore-point-hikaku;kadenryohanten-point-hikaku;kikangentei-point-5shu-hikaku
biccamera-toha,ビックカメラ.comとは?特徴とポイントの貯め方をわかりやすく解説,shopping,173,18,FALSE,FALSE,FALSE,FALSE,amazon-tsuhan-toha;aupay-market-toha;charge-route-point;daimaru-matsuzakaya-toha;docomo-select-toha;dpoint-tsukaimichi;dshopping-toha;ec-current-poikatsu;hikkoshi-poikatsu;irisplaza-toha
biglobe-hikari-poikatsu,BIGLOBE光とは?フレッツ光の設備を使った高速・格安光回線を解説,seikatsu,34,34,FALSE,FALSE,TRUE,FALSE,ahamo-hikari-poikatsu;ana-hikari-poikatsu;auhikari-poikatsu;docomo-denki-poikatsu;nifty-docomo-hikari-poikatsu;rakuten-hikari-poikatsu;rakuten-mobile-poikatsu;softbank-hikari-poikatsu;aupay-furusato-poikatsu;d-value-pass-poikatsu
biyouin-salon-point,美容院・サロン代をポイントで節約!予約前に見るべき条件と使い方,shopping,0,14,TRUE,FALSE,FALSE,FALSE,aupay-market-poikatsu;aupay-ponta;coke-on-setsuyaku;demaecan-poikatsu;doutor-tullys-poikatsu;dpoint-d-harai;drugstore-poikatsu;famiresu-cafe-point;gaishoku-point-tameru;homecenter-app-katsuyou
black-friday-poikatsu,ブラックフライデーで失敗しないポイ活!買うものリストと上限確認の基本,campaign,0,4,TRUE,FALSE,FALSE,FALSE,airtrip-tsukaikata;ame-heijitsu-campaign-poikatsu;poikatsu-campaign-shippai-boushi;rakuten-travel-supersale-poikatsu;yahoo-travel-tsukaikata;jalan-net-poikatsu;yahoo-travel-poikatsu;paypay-campaign-katsuyo;airtrip-poikatsu;jalan-tsukaikata
bonus-tsuki-poikatsu-keikaku,ボーナス月のポイ活計画!大きな買い物で損しない予算管理,campaign,0,13,TRUE,FALSE,FALSE,FALSE,fukubukuro-hatsuuri-poikatsu;fuyujitaku-poikatsu;ikkyu-poikatsu;jcb-airmacau-campaign-2026;kakuyasu-sim-norikae-poikatsu;kessan-sale-poikatsu;natsuyasumi-poikatsu-junbi;nenmatsunenshi-poikatsu;paypay-campaign-katsuyo;paypay-jichitai-campaign-2026
bousai-goods-poikatsu,防災グッズ購入でポイ活する方法!備蓄を無駄なくそろえるコツ,shopping,0,16,TRUE,FALSE,FALSE,FALSE,abc-mart-poikatsu;cashless-setsuyaku;dpoint-kiso;hasuu-shiharai-point;hyakkaten-depart-poikatsu;kikangentei-point-tsukaimichi;nanaco-point-kiso;net-shopping-point-kiso;nyuugaku-shingaku-junbi-point;paypay-point-kiso
browser-kakuchou-poikatsu,ブラウザ拡張機能でポイ活を便利にする方法!使いすぎない管理術,pointsite,0,0,TRUE,TRUE,FALSE,FALSE,yosekatsu;poikatsu-kiso;hapitas-poikatsu;keiyu-wasure-boushi;moppy-hajimekata;pointsite-kyakka-genin;chobirich-poikatsu;ecnavi-poikatsu;koteihi-sukunai-poikatsu;nifty-point-club-poikatsu
busnoru-poikatsu,バスのるとは?高速バス予約と「バスのるポイント」を解説,seikatsu,0,12,TRUE,FALSE,TRUE,FALSE,ahamo-toha;anshin-security-toha;dcarshare-toha;dhealthcare-toha;dhits-toha;dmagazine-toha;dmmbooks-toha;dphoto-toha;hikaritv-toha;jalan-golf-toha
campaign-memo-tsukurikata,キャンペーンメモの作り方!エントリー忘れを減らすポイ活管理術,pointsite,0,11,TRUE,FALSE,FALSE,FALSE,entry-calendar-tsukurikata;fuyoyotei-point-mieruka;gendama-poikatsu;hitorigurashi-poikatsu;isogashii-kaishain-shuumatsu-poikatsu;poikatsu-kakeibo;poikatsu-minaoshi-timing;poikatsu-yuusenjyuni;point-shuushihyou-tsukurikata;point-toiawase-junbi
carshare-point-katsuyou,カーシェアでポイ活する方法とは?短時間利用の節約ポイントを解説,shopping,0,17,TRUE,FALSE,TRUE,FALSE,ana-jal-mile-hikaku;ana-mile-tameru-kachi;ana-mileageplus-hikaku;au-uq-ponta;cleaning-poikatsu;code-kessai-4sha-hikaku;d-point-supermarket;denryoku-norikae-point;docomo-ahamo-dpoint;doramori-point
cashless-fuan-poikatsu,キャッシュレスが不安な人向けポイ活!現金感覚で使うための管理方法,pointsite,0,19,TRUE,FALSE,FALSE,FALSE,gakusei-poikatsu;hapitas-tsukaikata;kaimono-nigate-poikatsu;kosodate-setai-poikatsu;koteihi-sukunai-poikatsu;kurumanashi-seikatsu-poikatsu;minimalist-poikatsu;poikatsu-mail-tsuuchi-seiri;poikatsu-senyou-mail-hitsuyou;poikatsu-taikai-mae-kakunin
cashless-setsuyaku,キャッシュレス決済で節約する方法!現金派から始めるポイ活入門,shopping,1,17,FALSE,FALSE,FALSE,FALSE,apple-pay-poikatsu;abc-mart-poikatsu;bousai-goods-poikatsu;dpoint-kiso;hasuu-shiharai-point;hyakkaten-depart-poikatsu;kikangentei-point-tsukaimichi;nanaco-point-kiso;net-shopping-point-kiso;nyuugaku-shingaku-junbi-point
charge-route-point,チャージルートでポイントを増やす考え方!複雑にしすぎない決済設計,shopping,1,19,FALSE,FALSE,FALSE,FALSE,point-niju-sanjudori-kumiawase;amazon-tsuhan-toha;aupay-market-toha;biccamera-toha;daimaru-matsuzakaya-toha;docomo-select-toha;dpoint-tsukaimichi;dshopping-toha;ec-current-poikatsu;hikkoshi-poikatsu
chihou-zaijuu-poikatsu,地方在住者のポイ活術!使える店舗が少ない時のポイント活用法,pointsite,0,13,TRUE,FALSE,FALSE,FALSE,hoken-soudan-anken-poikatsu;kaigai-zaijuu-point-kanri;kazoku-account-poikatsu-chuui;keiyu-wasure-boushi;poikatsu-demerit;poikatsu-kojinjouhou-mamoru;poikatsu-kuchikomi-shinyou;poikatsu-muki-fumuki;poikatsu-yattehaikenai-koto;pointsite-kougaku-anken
chobirich-poikatsu,ちょびリッチとは?評判・特徴からポイントの貯め方まで徹底解説,pointsite,72,25,FALSE,FALSE,TRUE,FALSE,pointsite-kyakka-genin;amefri-poikatsu;chobirich-tsukaikata;ecnavi-poikatsu;ecnavi-tsukaikata;hapitas-poikatsu;moppy-hajimekata;muryou-kaiin-touroku-poikatsu;nifty-point-club-poikatsu;point-museum-poikatsu
chobirich-tsukaikata,ちょびリッチの使い方!ポイントサイト初心者が見るべき案件と交換先,pointsite,0,13,TRUE,FALSE,TRUE,FALSE,amefri-poikatsu;chobirich-poikatsu;ecnavi-poikatsu;ecnavi-tsukaikata;hapitas-poikatsu;moppy-hajimekata;muryou-kaiin-touroku-poikatsu;nifty-point-club-poikatsu;point-museum-poikatsu;pointincome-poikatsu
chuushajou-yoyaku-poikatsu,駐車場予約サービスでポイ活する方法!イベント前に確認したい条件,shopping,0,18,TRUE,FALSE,FALSE,FALSE,amazon-gift-charge;amazon-poikatsu;dpoint-hanei-sarenai;furusato-nozei-poikatsu;game-kakin-point;halloween-yohin-poikatsu;hikkoshi-seikatsuyohin-poikatsu;iryouhi-shohouyaku-point;koukyou-ryokin-poikatsu;maebarai-shisugi-poikatsu
cleaning-poikatsu,クリーニング代でポイントを貯める方法!宅配と店舗を比較するコツ,shopping,1,23,FALSE,FALSE,FALSE,FALSE,hikkoshi-seikatsuyohin-poikatsu;ana-jal-mile-hikaku;ana-mileageplus-hikaku;au-uq-ponta;code-kessai-4sha-hikaku;docomo-ahamo-dpoint;dpoint-ponta-hikaku;net-super-poikatsu;paypay-vpoint-koukan;rakuten-mobile-rakuten-point
code-kessai-4sha-hikaku,コード決済4社を徹底比較|PayPay・d払い・楽天ペイ・au PAY,shopping,2,67,FALSE,FALSE,FALSE,FALSE,sumaho-kessai-poikatsu;qr-kessai-poikatsu;ana-jal-mile-hikaku;ana-mileageplus-hikaku;au-uq-ponta;aupay-market-poikatsu;aupay-market-toha;aupay-ponta;cleaning-poikatsu;d-point-supermarket
code-receipt-poikatsu,CODEで商品バーコードを使ったポイ活!レシート登録と案件活用の基本,app,2,11,FALSE,FALSE,FALSE,FALSE,idou-app-erabikata;receipt-app-poikatsu;one-receipt-poikatsu;reshichare-poikatsu;taxi-app-poikatsu;tiktok-lite-poikatsu;torima-idou-poikatsu;app-hitsuyou;app-install-anken-poikatsu;hashport-wallet-poikatsu
coke-on-setsuyaku,Coke ONで飲み物代を節約する方法!スタンプ・チケット活用の基本,shopping,0,14,TRUE,FALSE,FALSE,FALSE,aupay-market-poikatsu;aupay-ponta;biyouin-salon-point;demaecan-poikatsu;doutor-tullys-poikatsu;dpoint-d-harai;drugstore-poikatsu;famiresu-cafe-point;gaishoku-point-tameru;homecenter-app-katsuyou
cosmo-opus-card-poikatsu,コスモ・ザ・カード・オーパスとは?ガソリン割引の特徴を解説,creditcard,24,24,FALSE,FALSE,TRUE,FALSE,epos-card-poikatsu;nexus-card-poikatsu;odakyu-point-card-poikatsu;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint;credit-card-mile-hikaku;ana-amex-poikatsu;credit-card-common-point-hikaku;credit-card-point-hikaku
creca-tsumitate-point,クレカ積立でポイントは貯まる?投資前に知りたい基本と注意点,creditcard,0,3,TRUE,FALSE,FALSE,FALSE,creditcard-hakkou-anken-poikatsu;creditcard-tsukurisugi-chuui;zeikin-shiharai-point;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint;credit-card-mile-hikaku;ana-amex-poikatsu;credit-card-common-point-hikaku;credit-card-point-hikaku
credit-card-common-point-hikaku,共通ポイント別クレジットカード比較|d・楽天・Ponta・Vポイントで選ぶ,creditcard,2,26,FALSE,FALSE,FALSE,FALSE,dcard-poikatsu;rakuten-card-poikatsu;mitsui-sumitomo-card-vpoint;credit-card-point-hikaku;credit-card-mile-hikaku;keitai-ryokin-point;creditcard-erabikata;creditcard-kangenritsu;creditcard-seiri-poikatsu;kuukou-lounge-poikatsu
credit-card-mile-hikaku,マイルが貯まるクレジットカード比較|ANA・JALの還元と移行条件,creditcard,3,22,FALSE,FALSE,FALSE,FALSE,credit-card-common-point-hikaku;point-koukan-toha;credit-card-point-hikaku;jcb-airmacau-campaign-2026;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint;ana-amex-poikatsu;creditcard-tsukurisugi-chuui;kuukou-lounge-poikatsu
credit-card-point-hikaku,クレジットカードのポイントを徹底比較|還元率・年会費・使い道で選ぶ,creditcard,2,25,FALSE,FALSE,FALSE,FALSE,credit-card-mile-hikaku;credit-card-common-point-hikaku;creditcard-tsukurisugi-chuui;dcard-poikatsu;keitai-ryokin-point;mitsui-sumitomo-card-vpoint;rakuten-card-poikatsu;creditcard-erabikata;creditcard-kangenritsu;creditcard-seiri-poikatsu
creditcard-erabikata,ポイ活向けクレジットカードの選び方!初心者が見るべき5つのポイント,creditcard,1,8,FALSE,FALSE,FALSE,FALSE,hyakkaten-depart-poikatsu;credit-card-common-point-hikaku;credit-card-point-hikaku;creditcard-kangenritsu;creditcard-seiri-poikatsu;kuukou-lounge-poikatsu;sumaho-kessai-creditcard-hikaku;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint
creditcard-hakkou-anken-poikatsu,クレジットカード発行案件のポイ活術!申し込み前に確認すべきこと,creditcard,0,3,TRUE,FALSE,TRUE,FALSE,creca-tsumitate-point;creditcard-tsukurisugi-chuui;zeikin-shiharai-point;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint;credit-card-mile-hikaku;ana-amex-poikatsu;credit-card-common-point-hikaku;credit-card-point-hikaku
creditcard-kangenritsu,クレジットカードのポイント還元率とは?1%と0.5%の違いをわかりやすく解説,creditcard,1,7,FALSE,FALSE,FALSE,FALSE,apple-pay-poikatsu;credit-card-common-point-hikaku;credit-card-point-hikaku;creditcard-erabikata;creditcard-seiri-poikatsu;kuukou-lounge-poikatsu;sumaho-kessai-creditcard-hikaku;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint
creditcard-poikatsu-kiso,クレジットカードでポイ活する基本!還元率だけで選ばない考え方,creditcard,0,2,TRUE,FALSE,FALSE,FALSE,debit-card-poikatsu;nenkaihi-muryo-card;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint;credit-card-mile-hikaku;ana-amex-poikatsu;credit-card-common-point-hikaku;credit-card-point-hikaku;creditcard-tsukurisugi-chuui
creditcard-seiri-poikatsu,複数クレジットカードの整理術!ポイ活効率を落とさない見直し方,creditcard,1,7,FALSE,FALSE,FALSE,FALSE,creditcard-tsukurisugi-chuui;kuukou-lounge-poikatsu;credit-card-common-point-hikaku;credit-card-point-hikaku;creditcard-erabikata;creditcard-kangenritsu;sumaho-kessai-creditcard-hikaku;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint
creditcard-tsukurisugi-chuui,クレジットカードを作りすぎると危険?ポイ活で注意したい信用情報の基本,creditcard,2,12,FALSE,FALSE,FALSE,FALSE,creditcard-seiri-poikatsu;credit-card-point-hikaku;creca-tsumitate-point;creditcard-hakkou-anken-poikatsu;zeikin-shiharai-point;rakuten-card-poikatsu;dcard-poikatsu;mitsui-sumitomo-card-vpoint;credit-card-mile-hikaku;ana-amex-poikatsu
cue-monitor-poikatsu,キューモニターでアンケートポイ活!初心者が知るべき使い方,survey,0,12,TRUE,FALSE,FALSE,FALSE,fancrew-poikatsu;fruitmail-poikatsu;ipsos-isay-poikatsu;iresearch-poikatsu;macromill-poikatsu;macromill-tsukaikata;opinionworld-poikatsu;enquete-monitor-poikatsu;infoq-poikatsu;monitor-town-poikatsu
d-point-supermarket,dポイントが貯まるスーパー一覧|使える店舗・地域スーパーも比較,shopping,1,32,FALSE,FALSE,FALSE,FALSE,docomo-ahamo-dpoint;dpoint-kiso;ponta-supermarket;net-super-poikatsu;code-kessai-4sha-hikaku;docomo-select-toha;doramori-point;dpoint-d-harai;dpoint-hanei-sarenai;dpoint-ponta-hikaku
d-value-pass-poikatsu,dバリューパスとは?初月無料で壁紙・待受が使い放題のサブスク,seikatsu,5,18,FALSE,FALSE,TRUE,FALSE,dpoint-dharai-tamekata;dpoint-tsukaikata;itoyokado-netsuper-onigo-poikatsu;rakuten-beauty-poikatsu;rakuten-car-shaken-poikatsu;rakuten-denwa-poikatsu;rakuten-music-poikatsu;rakuten-shashinkan-poikatsu;retty-poikatsu;ubereats-poikatsu
daimaru-matsuzakaya-toha,大丸松坂屋オンラインストアとは?特徴とポイントの貯め方をわかりやすく解説,shopping,1,18,FALSE,FALSE,TRUE,FALSE,hyakkaten-depart-poikatsu;amazon-tsuhan-toha;aupay-market-toha;biccamera-toha;charge-route-point;docomo-select-toha;dpoint-tsukaimichi;dshopping-toha;ec-current-poikatsu;hikkoshi-poikatsu
dcard-poikatsu,dカードはポイ活におすすめ?dポイントを貯めやすい人の特徴,creditcard,4,31,FALSE,FALSE,FALSE,FALSE,credit-card-common-point-hikaku;docomo-ahamo-dpoint;dpoint-tsukaikata;point-niju-sanjudori-kumiawase;credit-card-point-hikaku;keitai-ryokin-point;ana-amex-poikatsu;apple-pay-poikatsu;gasoline-point-tameru;hokenryo-point-tameru
