slug,title,category,internal_link_score,affiliate_relevance_score,revenue_opportunity,user_intent_match,tofu_mofu_bofu,overall_verdict,article_issues,notes
furusato-nozei-poikatsu,ふるさと納税でポイ活はできる?ポイント還元と注意点をわかりやすく解説,shopping,60,15,HIGH,85,TOFU,FIX_HIGH,AFFILIATE_OPPORTUNITY_HIGH,furusato-portal-erabikata(CTAあり)への内部リンクが無い。追加を優先的に推奨
furusato-portal-erabikata,ふるさと納税ポータルの選び方!ポイント重視で比較する時の注意点,shopping,60,55,NONE,80,MOFU,FIX_MEDIUM,MONETIZATION_MISMATCH;ORPHAN_CANDIDATE,「ポータルの選び方」という比較テーマなのにCTAはau PAYふるさと納税のみ。他ポータルとの比較充実または訴求箇所の見直しが必要。被リンクも0件
gaishoku-point-tameru,外食でポイントを貯める方法!予約サイト・決済・アプリ活用の基本,shopping,30,70,NONE,80,MOFU,REVIEW,ORPHAN_CANDIDATE,
game-kakin-point,ゲーム課金でポイントを貯める方法!Apple・Google残高利用時の注意,shopping,5,20,MEDIUM,78,MOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,
gas-norikae-poikatsu,ガス会社乗り換えでポイ活する方法!セット割とポイントの確認術,shopping,65,20,HIGH,85,MOFU,FIX_HIGH,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,ガス会社乗り換え系も高単価アフィリエイト案件。CTA追加を優先的に検討
gyudon-chain-poikatsu,牛丼チェーンでポイ活する方法!吉野家・すき家・松屋利用時の基本,shopping,5,10,LOW,75,MOFU,REVIEW,ORPHAN_CANDIDATE,
hahanohi-chichinohi-gift-point,母の日・父の日ギフトでポイントを貯める方法!早割と配送日の確認術,shopping,55,20,HIGH,82,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,季節性の高い購入意図記事だがCTAが無い。ギフト系ECのアフィリエイト追加を推奨
halloween-yohin-poikatsu,ハロウィン用品でポイ活する方法!衣装・お菓子を買いすぎないコツ,shopping,5,25,MEDIUM,78,MOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,
hasuu-shiharai-point,端数支払いでポイントを使う方法!少額ポイントを無駄にしないコツ,shopping,30,10,LOW,78,TOFU,REVIEW,,本文リンクが0件
hikkoshi-poikatsu,引っ越しでポイ活する方法!見積もり・家具購入・手続きの確認ポイント,shopping,60,15,HIGH,85,MOFU,FIX_HIGH,AFFILIATE_OPPORTUNITY_HIGH,引越し一括見積もり比較サービスは定番の高単価アフィリエイト案件。CTA追加を最優先で検討
hikkoshi-seikatsuyohin-poikatsu,引越し後の生活用品で使えるポイ活術!支出が増える前に確認したい節約ポイント,shopping,85,90,NONE,90,MOFU,KEEP,,
homecenter-app-katsuyou,ホームセンターの会員アプリ活用術!DIY用品と日用品をお得に買う方法,shopping,5,25,MEDIUM,78,MOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,
hon-denshi-shoseki-poikatsu,本・電子書籍のポイ活方法|楽天ブックス・Kobo・hontoの還元率を比較,shopping,70,55,NONE,85,MOFU,FIX_MEDIUM,MONETIZATION_MISMATCH,タイトルは楽天ブックス・Kobo・hontoの比較だが、CTAはDMMブックスのみ。比較対象の統一が必要
hyakkaten-depart-poikatsu,百貨店のポイントを比較!高島屋・三越伊勢丹・大丸松坂屋など,shopping,85,45,LOW,88,MOFU,REVIEW,ORPHAN_CANDIDATE,内容は充実しているが被リンクが0件。個別店舗記事からの相互リンクを追加すべき
irisplaza-toha,アイリスプラザとは?特徴とポイントの貯め方をわかりやすく解説,shopping,35,90,NONE,88,BOFU,REVIEW,ORPHAN_CANDIDATE,CTAは良好だが被リンクが0件
iryouhi-shohouyaku-point,医療費・処方薬でポイントは貯まる?支払い前に確認したい注意点,shopping,15,70,NONE,80,TOFU,FIX_LOW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,本文リンク・被リンクともに0件。内容自体は医療費ポイ活の注意点として妥当。関連するshoppingカテゴリ記事からの内部リンク追加を推奨。
itoyokado-poikatsu,イトーヨーカドーでポイ活する方法!アプリ・nanaco・セールの使い分け,shopping,55,70,LOW,85,TOFU,KEEP,,itoyokado-netsuper-onigo-poikatsuとの相互リンクは良好。イトーヨーカドー自体にアフィリエイト提携がないため現状のCTA無しは妥当。
jal-mile-tameru-kachi,JALマイルを貯めるべき人・貯めない方がいい人を解説,shopping,85,55,MEDIUM,90,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,内部リンクは豊富かつ高関連性。JALマイルを貯める判断記事のため、JAL系クレジットカードのアフィリエイト提携があればCTA追加の余地あり。
jal-mileage-mall-poikatsu,JALマイレージモールでマイルを貯める方法!ネット通販前の基本,shopping,45,55,MEDIUM,85,MOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,被リンク0件。JALカード関連のアフィリエイトが存在すればCTA設置を検討。
jisshitsu-kakaku-keisan,実質価格とは?計算方法・ポイント還元と値引きの違いを具体例で解説,shopping,85,75,NONE,90,TOFU,KEEP,NO_AFFILIATE_NEEDED,実質価格計算という用語解説記事。TOC・関連記事へのリンクとも充実しており良好。
joshin-web-toha,Joshin webショップとは?特徴とポイントの貯め方をわかりやすく解説,shopping,30,40,LOW,90,BOFU,REVIEW,,被リンク173件と非常に多いハブページだが、CTAはアフィリエイトではなく直接公式リンク。Joshin webのASP提携有無を確認し、あれば大きな収益機会。
jre-point-kiso,JRE POINTの貯め方と使い方!Suica利用者向けポイ活入門,shopping,10,55,MEDIUM,85,TOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,被リンク・本文リンクともに0件。ビューカードとの相性に言及があり、ビューカード関連記事・アフィリエイトへの導線を検討可能。
jtb-shopping-toha,JTBショッピングとは?お取り寄せ・お土産・ギフトの特徴を解説,shopping,25,95,NONE,90,BOFU,KEEP,,JTBショッピングのレビュー記事としてCTAが的確。本文内部リンクが0件なのはやや惜しいが致命的ではない。
kadenryohanten-point-hikaku,家電量販店のポイント比較|還元率・現金値引き・支払い方法を7社で比較,shopping,85,50,MEDIUM,90,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,7社比較として内部リンクは非常に充実。家電量販店のいずれかにASP提携があればCTA追加の余地あり。
kadenryohanten-point,家電量販店のポイントを賢く使う方法!現金値引きとの違いを解説,shopping,50,50,MEDIUM,85,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,kadenryohanten-point-hikakuとの相互リンクは良好。家電量販店のアフィリエイト提携があれば収益機会あり。
kaitenzushi-yoyaku-poikatsu,回転寿司でポイントを貯める方法!予約アプリと支払い前のチェック,shopping,10,55,MEDIUM,85,TOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,被リンク0件。予約サービス(EPARK等)のASP提携があればCTA設置を検討。
keio-net-shopping-toha,京王ネットショッピングとは?特徴とポイントの貯め方をわかりやすく解説,shopping,25,95,NONE,90,BOFU,KEEP,,京王ネットショッピングのレビュー記事としてCTAが的確。
keitai-ryokin-setsuyaku,携帯料金をポイ活で節約する方法!ポイント払いとキャンペーンの活用,shopping,20,50,MEDIUM,75,MOFU,FIX_MEDIUM,MONETIZATION_MISMATCH,本文は複数キャリアの特徴解説だが、CTAは楽天モバイル1社に偏っておりMONETIZATION_MISMATCH。キャリア別記事への内部リンクも0件で追加余地あり。
kikangentei-point-5shu-hikaku,期間限定ポイント5種を比較!失効前に使い切る方法,shopping,85,70,NONE,90,MOFU,KEEP,NO_AFFILIATE_NEEDED,5種比較として内部リンク充実、被リンクも5件と評価が高い。
kikangentei-point-tsukaimichi,期間限定ポイントのおすすめ使い道|失効前にすぐ使える交換先ガイド,shopping,80,70,NONE,88,MOFU,KEEP,NO_AFFILIATE_NEEDED,使い道ガイドとして内部リンク充実。
konbini-poikatsu-hikaku,コンビニでポイ活する方法!主要チェーンで貯まるポイントを比較,shopping,10,65,LOW,85,MOFU,FIX_LOW,ORPHAN_CANDIDATE,被リンク・本文リンクともに0件。lawson-ponta等の個別コンビニ記事への内部リンク追加を強く推奨。
koukangen-hi-kaimono-list,高還元日の買い物リスト術!必要な物だけ買うポイ活ルール,shopping,15,65,NONE,80,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。関連するshoppingカテゴリ記事からのリンク追加を推奨。
koukyou-ryokin-poikatsu,電気・ガス・水道でポイントは貯まる?公共料金ポイ活の基本,shopping,55,65,LOW,85,TOFU,KEEP,,電力会社記事への内部リンクは的確。
kousokubus-yoyaku-poikatsu,高速バス予約でポイントを貯める方法!移動費を抑えるポイ活術,shopping,10,55,MEDIUM,85,TOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,被リンク0件。高速バス予約サイトのASP提携があればCTA設置を検討。
lawson-ponta,ローソンでPontaポイントを貯める方法!買い物前に知っておきたい基本,shopping,20,65,LOW,85,TOFU,REVIEW,,ponta-kiso・au-uq-ponta等への内部リンクが0件で追加余地あり。
line-point-nichijou,LINEポイントを日常で貯める方法!LINEサービスと決済前チェックの基本,shopping,10,65,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク・本文リンクともに0件。
lohaco-toha,LOHACOとは?特徴とポイントの貯め方をわかりやすく解説,shopping,30,40,LOW,90,BOFU,REVIEW,,被リンク184件の巨大ハブページだが非アフィリエイトの直接リンクのみ。ASP提携有無の確認を推奨。
maebarai-shisugi-poikatsu,前払いしすぎないポイ活術!ポイント目当ての出費を防ぐ考え方,shopping,10,65,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。
matsukiyo-cocokara-online-toha,マツキヨココカラオンラインストアとは?送料無料条件・支払い方法・当日配送を解説,shopping,65,95,NONE,90,BOFU,KEEP,,マツキヨココカラのレビュー記事としてCTA・内部リンクともに良好。被リンクも173件と非常に多い。
matsukiyo-cocokara-poikatsu,マツキヨココカラでポイ活する方法!アプリ・クーポン・決済の基本,shopping,80,90,NONE,88,BOFU,KEEP,,内部リンク・CTAともに充実。同一CTAが2回出現するが許容範囲内でCTA_OVERUSEには該当しない。
matsukiyo-cocokara-point,マツキヨココカラのポイント制度!マツキヨココカラポイントとdポイントの関係,shopping,80,80,NONE,88,MOFU,KEEP,,ポイント制度解説記事として内部リンク充実、CTAも妥当。
mcdonalds-poikatsu,マクドナルドでお得に買うポイ活術!アプリ・クーポン・支払いの基本,shopping,10,60,LOW,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。マクドナルドは一般にASP提携が少なく現状のCTA無しは妥当。
mile-koukan-merit,ポイントをマイルに交換するメリットは?旅行好き向けポイ活入門,shopping,15,55,MEDIUM,85,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,被リンクは3件あるが本文からの発リンクが0件。ana-jal-mile-hikaku等への内部リンク追加や、マイル系クレジットカードのアフィリエイト導線を検討。
mileageplus-nihon-zaijuu,MileagePlusは日本在住でも貯める価値がある?メリット・注意点を解説,shopping,70,55,MEDIUM,88,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,ana-mileageplus-hikakuとの相互リンクは良好。マイル系クレジットカードのアフィリエイト提携があればCTA追加の余地あり。
muji-otoku-kaimono,無印良品でお得に買い物する方法!マイル・クーポン・決済の基本,shopping,10,60,LOW,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。無印良品は一般にASP提携が限定的で現状のCTA無しは妥当。
nanaco-point-kiso,nanacoポイントの貯め方と使い方!セブン系で活用する基本,shopping,15,65,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。itoyokado-poikatsu等への内部リンク追加を推奨。
net-shopping-point-kiso,ネットショッピングでポイントを貯める方法!楽天・Yahoo・Amazonの基本,shopping,75,70,NONE,88,TOFU,REVIEW,ORPHAN_CANDIDATE,各モール「とは」記事への導線は的確だが被リンクが0件。
net-super-poikatsu,ネットスーパーのポイントを比較|Ponta・楽天・WAON POINTなど対応状況を解説,shopping,55,60,LOW,88,MOFU,FIX_MEDIUM,MONETIZATION_MISMATCH,Ponta/楽天/d/Vポイント対応比較が中心だが、CTAは比較表に含まれない「IYNS by ONIGO」に誘導しておりMONETIZATION_MISMATCH。
nissen-toha,ニッセンとは?特徴とポイントの貯め方をわかりやすく解説,shopping,40,45,MEDIUM,88,BOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,被リンク10件。CTAが非アフィリエイトの直接リンクのみで、ニッセンのASP提携(A8等)有無の確認を推奨。
nyuugaku-shingaku-junbi-point,入学・進学準備でポイントを貯める方法!学用品購入の節約術,shopping,10,60,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。
ocn-online-shop-toha,OCNオンラインショップとは?特徴とお得な買い方をわかりやすく解説,shopping,90,60,NONE,88,BOFU,FIX_MEDIUM,ORPHAN_CANDIDATE,CTAはOCNオンラインショップのレビューとして的確だが、被リンク0件のためせっかくのアフィリエイトCTAへの流入経路がない。dポイント・通信関連記事からの内部リンク追加を優先的に推奨。
pasmo-icoca-poikatsu,PASMO・ICOCAでもポイ活できる?交通系IC利用者向けの確認ポイント,shopping,10,65,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。
paypay-point-kiso,PayPayポイントとは?貯め方・使い方・注意点を初心者向けに解説,shopping,20,60,NONE,90,TOFU,FIX_LOW,NO_AFFILIATE_NEEDED,被リンク5件と評価は高いハブ記事だが、本文からpaypay-point-tsukaimichi・paypay-point-tsukanai・paypay-vpoint-koukan等の関連記事への発リンクが0件。基礎記事として関連記事への内部リンク追加を推奨。
paypay-point-tsukaimichi,PayPayポイントの使い道おすすめ!支払い・運用・貯蓄感覚で使う方法,shopping,10,60,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。paypay-point-kisoとの相互リンク追加を推奨。
paypay-point-tsukanai,PayPayポイントが付かない原因は?確認すべき条件と対策,shopping,15,65,NONE,88,TOFU,REVIEW,NO_AFFILIATE_NEEDED,「ポイントが付かない原因」系の情報提供記事でCTA不要は妥当。paypay-point-kisoへのリンク追加が望ましい。
paypay-vpoint-koukan,PayPayポイント⇄Vポイント相互交換ガイド|レート・手順・注意点,shopping,75,70,NONE,90,MOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,内部リンクは充実しているが被リンクが0件。
pet-yohin-poikatsu,ペット用品でポイ活する方法!定期購入とまとめ買いの節約術,shopping,10,60,LOW,85,TOFU,REVIEW,ORPHAN_CANDIDATE,被リンク0件。
point-bairitsu-hyou-yomikata,ポイント倍率表の読み方!何倍表示に惑わされないチェックポイント,shopping,15,65,NONE,85,TOFU,FIX_LOW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件かつ本文リンクも0件。jisshitsu-kakaku-keisan・point-kangenritsu-mikataなど近接テーマの記事への内部リンク追加が容易かつ効果的。
point-kangen-genkin-nebiki-hikaku,ポイント還元と現金値引きはどっちが得?迷った時の比較方法,shopping,20,65,NONE,88,MOFU,REVIEW,NO_AFFILIATE_NEEDED,jisshitsu-kakaku-keisanから被リンクがあるが本文からの発リンクが0件。相互リンク化を推奨。
point-kangenritsu-mikata,ポイント還元率の見方を解説!本当にお得か判断する計算方法,shopping,20,65,NONE,88,TOFU,REVIEW,NO_AFFILIATE_NEEDED,jisshitsu-kakaku-keisanから被リンクがあるが本文からの発リンクが0件。相互リンク化を推奨。
point-koukan-toha,ポイント交換とは?他社ポイント・ギフト券・マイルへの交換方法,shopping,20,65,NONE,85,TOFU,REVIEW,NO_AFFILIATE_NEEDED,被リンク4件のハブ的記事だが本文発リンクが0件。kikangentei-point-5shu-hikaku等への追加を推奨。
point-niju-sanjudori-kumiawase,ポイント二重取り・三重取りの組み合わせ早見表!おすすめルートを解説,shopping,85,60,LOW,90,MOFU,KEEP,,クレジットカード個別記事への導線が充実しており、CTA無しでも内部リンク経由の収益導線として妥当。
point-seikatsuhi-karuku,ポイントで生活費を軽くする方法!食費・日用品に優先して使う考え方,shopping,10,65,NONE,85,TOFU,REVIEW,ORPHAN_CANDIDATE;NO_AFFILIATE_NEEDED,被リンク0件。
point-toushi-toha,ポイント投資とは?貯めたポイントで投資体験を始める方法,shopping,60,70,NONE,88,TOFU,KEEP,NO_AFFILIATE_NEEDED,point-toushi-unyou-service-hikakuへ適切に導線を張っており、収益化はそちら側に委ねる構成として妥当。
point-toushi-unyou-service-hikaku,ポイント投資・ポイント運用を主要サービスで比較,shopping,88,75,NONE,92,MOFU,FIX_LOW,VAGUE_ANCHOR,各証券会社記事への内部リンクは非常に的確。ただし比較表内の外部リンクが4件とも「▶ 詳細」という曖昧なアンカーテキストで、かつ2件はASPトラッキングドメイン(tcs-asp.net/ad2.trafficgate.net)である可能性が高い。アンカーテキストをサービス名入りに修正し、CTA管理を統一することを推奨。
